,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
97,98,BOIS FABIEN,NON LICENCIE,MS4 - M,,0 days 01:13:46.000000000,0 days 00:13:39.000000000,0 days 00:36:23.000000000,0 days 00:23:44.000000000
98,99,CARUANA THOMAS,MONTLUCON TRI,MV1 - M,,0 days 01:13:51.000000000,0 days 00:15:57.000000000,0 days 00:38:01.000000000,0 days 00:19:53.000000000
99,100,CHARIGNON DIDIER,SAINT PRIEST TRI,MV2 - M,,0 days 01:14:01.000000000,0 days 00:15:11.000000000,0 days 00:38:37.000000000,0 days 00:20:13.000000000
100,101,DOURS CLAUDE,VALENCE TRI,MV2 - M,,0 days 01:14:01.000000000,0 days 00:15:59.000000000,0 days 00:36:24.000000000,0 days 00:21:38.000000000
101,102,RICHARD LAURENT,ALLIGATORS TRI,MS4 - M,,0 days 01:14:12.000000000,0 days 00:15:40.000000000,0 days 00:35:39.000000000,0 days 00:22:53.000000000
102,103,ROBELLAZ FLORA,ASMSE,FS1 - F,,0 days 01:14:27.000000000,0 days 00:13:16.000000000,0 days 00:38:00.000000000,0 days 00:23:11.000000000
103,104,VIVIER BARBARA,PUISSANCE 3,FV1 - F,,0 days 01:14:30.000000000,0 days 00:17:05.000000000,0 days 00:36:40.000000000,0 days 00:20:45.000000000
104,105,BEAUMANN OLIVIER,TRIALP MOIRANS,MV1 - M,,0 days 01:14:38.000000000,0 days 00:16:35.000000000,0 days 00:36:30.000000000,0 days 00:21:33.000000000
105,106,FALCONNIER JÉRÉMY,ASMSE,MS2 - M,,0 days 01:14:47.000000000,0 days 00:16:23.000000000,0 days 00:35:37.000000000,0 days 00:22:47.000000000
106,107,BONNEFILLE JEAN-CHRISTOPHE,BOURGES TRI,MS3 - M,,0 days 01:14:48.000000000,0 days 00:15:28.000000000,0 days 00:37:11.000000000,0 days 00:22:09.000000000
107,108,CHADENSON MARC,ASVEL TRI,MS2 - M,,0 days 01:14:53.000000000,0 days 00:14:51.000000000,0 days 00:38:18.000000000,0 days 00:21:44.000000000
108,109,GRIGORIOU CHRISTOPHE,FREE IRON TEAM,MS3 - M,,0 days 01:15:02.000000000,0 days 00:15:45.000000000,0 days 00:37:26.000000000,0 days 00:21:51.000000000
109,110,LABORIER GUILLAUME,MACH 3 TRI,MS4 - M,,0 days 01:15:14.000000000,0 days 00:15:24.000000000,0 days 00:36:28.000000000,0 days 00:23:22.000000000
110,111,HATIN CORINNE,ASVEL TRI,FV1 - F,,0 days 01:15:18.000000000,0 days 00:16:37.000000000,0 days 00:37:21.000000000,0 days 00:21:20.000000000
111,112,CHABUT SOPHIE,ENVY/EPINAY,FV1 - F,,0 days 01:15:27.000000000,0 days 00:16:56.000000000,0 days 00:36:32.000000000,0 days 00:21:59.000000000
112,113,COUTINHO ALBERT,ROANNE TRI,MV1 - M,,0 days 01:15:40.000000000,0 days 00:15:45.000000000,0 days 00:38:43.000000000,0 days 00:21:12.000000000
113,114,MAUDONNET BERNARD,BOURG EN BRESSE TRI,MV2 - M,,0 days 01:15:58.000000000,0 days 00:12:49.000000000,0 days 00:36:02.000000000,0 days 00:27:07.000000000
114,115,COUDERT JEAN-CLAUDE,GUC TRI,MV3 - M,,0 days 01:16:01.000000000,0 days 00:15:38.000000000,0 days 00:35:59.000000000,0 days 00:24:24.000000000
115,116,PILAT EMELINE,ASMSE,FS1 - F,,0 days 01:16:04.000000000,0 days 00:12:28.000000000,0 days 00:37:35.000000000,0 days 00:26:01.000000000
116,117,COMBE DENIS,ANNONAY TRI,MV1 - M,,0 days 01:16:10.000000000,0 days 00:17:23.000000000,0 days 00:37:46.000000000,0 days 00:21:01.000000000
117,118,CAPDUPUY NADIA,PUISSANCE 3,FV2 - F,,0 days 01:16:24.000000000,0 days 00:16:04.000000000,0 days 00:38:18.000000000,0 days 00:22:02.000000000
118,119,FRIEDLI ISABELLE,CRV LYON,FS2 - F,,0 days 01:16:28.000000000,0 days 00:15:36.000000000,0 days 00:37:20.000000000,0 days 00:23:32.000000000
119,120,GRAYSSAC MAXIME,PUISSANCE 3,MS2 - M,,0 days 01:16:31.000000000,0 days 00:16:28.000000000,0 days 00:36:43.000000000,0 days 00:23:20.000000000
120,121,BERLIER PIERRE,ASMSE,MV4 - M,,0 days 01:16:40.000000000,0 days 00:16:46.000000000,0 days 00:37:46.000000000,0 days 00:22:08.000000000
121,122,BAISEZ CÉDRIC,OULLINS TRI,MV1 - M,,0 days 01:16:41.000000000,0 days 00:14:36.000000000,0 days 00:37:38.000000000,0 days 00:24:27.000000000
122,123,LINGE YANIS,GUC TRI,MS2 - M,,0 days 01:16:47.000000000,0 days 00:13:52.000000000,0 days 00:38:27.000000000,0 days 00:24:28.000000000
123,124,LACOMBE IVAN,ASVEL TRI,MV1 - M,,0 days 01:16:50.000000000,0 days 00:15:52.000000000,0 days 00:36:45.000000000,0 days 00:24:13.000000000
124,125,DELETOMBE PHILIPPE,CHAMBÉRY TRI,MV3 - M,,0 days 01:16:53.000000000,0 days 00:16:27.000000000,0 days 00:38:24.000000000,0 days 00:22:02.000000000
125,126,DOUCE CYRIL,RILLIEUX TRI,MS4 - M,,0 days 01:16:55.000000000,0 days 00:18:14.000000000,0 days 00:37:28.000000000,0 days 00:21:13.000000000
126,127,CHARME RÉGINALD,TRI COW THLON 71,MS4 - M,,0 days 01:17:14.000000000,0 days 00:14:00.000000000,0 days 00:39:11.000000000,0 days 00:24:03.000000000
127,128,PRIGENT FRANCK,NON LICENCIE,MS4 - M,,0 days 01:17:14.000000000,0 days 00:17:55.000000000,0 days 00:38:18.000000000,0 days 00:21:01.000000000
128,129,GOUNON FABIEN,TRI 07 PRIVAS,MS4 - M,,0 days 01:17:22.000000000,0 days 00:16:00.000000000,0 days 00:39:03.000000000,0 days 00:22:19.000000000
129,130,LAPOMPE LIONEL,NON LICENCIE,MS3 - M,,0 days 01:17:24.000000000,0 days 00:15:48.000000000,0 days 00:39:36.000000000,0 days 00:22:00.000000000
130,131,JEAN SÉBASTIEN,ASMSE,MS3 - M,,0 days 01:17:25.000000000,0 days 00:16:09.000000000,0 days 00:37:52.000000000,0 days 00:23:24.000000000
131,132,DESCHAMPS SÉBASTIEN,NON LICENCIE,MS3 - M,,0 days 01:17:40.000000000,0 days 00:17:38.000000000,0 days 00:39:55.000000000,0 days 00:20:07.000000000
132,133,LAGER RAPHAËL,ASVEL TRI,MS4 - M,,0 days 01:17:42.000000000,0 days 00:18:01.000000000,0 days 00:35:57.000000000,0 days 00:23:44.000000000
133,134,PELUYET BRUNO,TRI CLUB DES 2 RIVES,MV3 - M,,0 days 01:17:47.000000000,0 days 00:19:38.000000000,0 days 00:38:21.000000000,0 days 00:19:48.000000000
134,135,CHALVIN MYLÉNE,TRIATH LONS,FS3 - F,,0 days 01:17:51.000000000,0 days 00:53:55.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000
135,136,FERLET YANNICK,ROANNE TRI,MS4 - M,,0 days 01:17:56.000000000,0 days 00:16:46.000000000,0 days 00:38:27.000000000,0 days 00:22:43.000000000
136,137,BREUIL JULIEN,ASMSE,MS3 - M,,0 days 01:17:57.000000000,0 days 00:16:44.000000000,0 days 00:38:18.000000000,0 days 00:22:55.000000000
137,138,TORGUE MATTHIEU,MACH 3 TRI,MS1 - M,,0 days 01:18:10.000000000,0 days 00:16:16.000000000,0 days 00:39:53.000000000,0 days 00:22:01.000000000
138,139,COLEVRET BRUNO,ROMANS TRI,MS3 - M,,0 days 01:18:13.000000000,0 days 00:17:06.000000000,0 days 00:38:27.000000000,0 days 00:22:40.000000000
139,140,DUPLAIN JEAN-CLAUDE,MACH 3 TRI,MV1 - M,,0 days 01:18:15.000000000,0 days 00:16:31.000000000,0 days 00:38:50.000000000,0 days 00:22:54.000000000
140,141,FRANKCOM BONNIE,ASMSE,FJU - F,,0 days 01:18:19.000000000,0 days 00:13:30.000000000,0 days 00:39:39.000000000,0 days 00:25:10.000000000
141,142,POTIER PATRICK,ASVEL TRI,MV2 - M,,0 days 01:18:20.000000000,0 days 00:17:50.000000000,0 days 00:37:48.000000000,0 days 00:22:42.000000000
142,143,COSTES ALEX,TRIALP MOIRANS,MV1 - M,,0 days 01:18:22.000000000,0 days 00:15:45.000000000,0 days 00:38:35.000000000,0 days 00:24:02.000000000
143,144,SIMOND LIONEL,ROANNE TRI,MS4 - M,,0 days 01:18:26.000000000,0 days 00:16:57.000000000,0 days 00:37:49.000000000,0 days 00:23:40.000000000
144,145,PIVOT SYLVAIN,TRIALP MOIRANS,MS4 - M,,0 days 01:18:28.000000000,0 days 00:15:57.000000000,0 days 00:38:30.000000000,0 days 00:24:01.000000000
145,146,DUMAS GILLES,PUISSANCE 3,MV2 - M,,0 days 01:18:33.000000000,0 days 00:17:42.000000000,0 days 00:39:11.000000000,0 days 00:21:40.000000000
146,147,COTTIN BERNARD,ASMSE,MV1 - M,,0 days 01:18:38.000000000,0 days 00:24:05.000000000,0 days 00:34:07.000000000,0 days 00:20:26.000000000
147,148,MELIN CHLOÉ,GUC TRI,FS2 - F,,0 days 01:18:49.000000000,0 days 00:16:17.000000000,0 days 00:38:51.000000000,0 days 00:23:41.000000000
148,149,QUINCARD PHILIPPE,MACH 3 TRI,MV3 - M,,0 days 01:19:00.000000000,0 days 00:15:41.000000000,0 days 00:37:14.000000000,0 days 00:26:05.000000000
149,150,EPAILLY ERIC,TRIALP MOIRANS,MV2 - M,,0 days 01:19:00.000000000,0 days 00:14:15.000000000,0 days 00:37:41.000000000,0 days 00:27:04.000000000
150,151,GERBAUD NICOLAS,MACH 3 TRI,MS3 - M,,0 days 01:19:03.000000000,0 days 00:16:58.000000000,0 days 00:39:20.000000000,0 days 00:22:45.000000000
