,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
293,294,RIBARD NATHALIE,GUC TRIATHLON,9 S3F,F,0 days 03:03:32.000000000,0 days 00:26:04.000000000,0 days 01:39:43.000000000,0 days 00:57:46.000000000
294,295,MASSEY LEE,NON LICENCIE,75 V1M,M,0 days 03:03:39.000000000,0 days 00:25:22.000000000,0 days 01:34:24.000000000,0 days 01:03:54.000000000
295,296,DEVOUGES DANIELLE,VALENCE TRIATHLON,4 V2F,F,0 days 03:03:55.000000000,0 days 00:30:44.000000000,0 days 01:40:22.000000000,0 days 00:52:50.000000000
296,297,HANQUART CHRISTOPHE,A. L. ECHIROLLES TRIATHLON,67 S4M,M,0 days 03:07:55.000000000,0 days 00:33:13.000000000,0 days 01:47:21.000000000,0 days 00:47:22.000000000
297,298,OUMEDDOUR FELLA,VAULX EN VELIN TRIATHLON,5 S4F,F,0 days 03:08:33.000000000,0 days 00:29:25.000000000,0 days 01:45:01.000000000,0 days 00:54:08.000000000
298,299,DUBOIS VALÉRIE,GUC TRIATHLON,10 S3F,F,0 days 03:08:57.000000000,0 days 00:34:07.000000000,0 days 01:36:38.000000000,0 days 00:58:13.000000000
299,300,WITH SYLVIE,GUC TRIATHLON,2 V3F,F,0 days 03:09:26.000000000,0 days 00:27:59.000000000,0 days 01:46:25.000000000,0 days 00:55:03.000000000
300,301,SAUBIN GÉRARD,NON LICENCIE,68 S4M,M,0 days 03:09:54.000000000,0 days 00:30:34.000000000,0 days 01:47:39.000000000,0 days 00:51:41.000000000
301,302,LOTH THIERRY,ALBERTVILLE TARENTAISE TRIATHLON,69 S4M,M,0 days 03:18:14.000000000,0 days 00:28:01.000000000,0 days 01:48:14.000000000,0 days 01:02:01.000000000
302,303,BOSC EMMANUEL,TEAM MERMILLOD TRIATHLON,76 V1M,M,0 days 03:21:22.000000000,0 days 00:25:40.000000000,0 days 01:50:27.000000000,0 days 01:05:16.000000000
303,304,BARATA JEAN PAUL,TRIATHLON DU SALEVE,77 V1M,M,0 days 03:21:22.000000000,0 days 00:33:40.000000000,0 days 01:53:52.000000000,0 days 00:53:52.000000000
304,999,ALPHONSE SÉBASTIEN,TRIATHLON DU SALEVE,S4M,M,,0 days 00:26:06.000000000,0 days 01:43:02.000000000,0 days 00:00:00.000000000
