,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
155,156,NOUBEL FRÉDÉRIC,NON LICENCIE,V1 40,M,0 days 02:24:43.000000000,0 days 00:26:48.000000000,0 days 01:14:40.000000000,0 days 00:43:16.000000000
156,157,CHENEREAU BASTIEN,RAID DU TRI NATURE BREUIL MAGNÉ,S2 24,M,0 days 02:24:51.000000000,0 days 00:31:12.000000000,0 days 01:12:09.000000000,0 days 00:41:31.000000000
157,158,BOUCHER PHILIPPE,BOURG EN BRESSE TRI,S3 26,M,0 days 02:24:57.000000000,0 days 00:26:04.000000000,0 days 01:19:40.000000000,0 days 00:39:14.000000000
158,159,BOUDIN GILLES,NON LICENCIE,V1 41,M,0 days 02:24:59.000000000,0 days 00:23:09.000000000,0 days 01:19:49.000000000,0 days 00:42:02.000000000
159,160,LALA RÉGIS,ST PRIEST TRI,S4 29,M,0 days 02:25:01.000000000,0 days 00:29:05.000000000,0 days 01:14:56.000000000,0 days 00:41:01.000000000
160,161,HEMPHILL CHRISTINE,TEAM MERMILLOD TRI,V1 1,F,0 days 02:25:04.000000000,0 days 00:22:31.000000000,0 days 01:20:13.000000000,0 days 00:42:22.000000000
161,162,RIVA EDDY,NON LICENCIE,S4 30,M,0 days 02:25:07.000000000,0 days 00:29:51.000000000,0 days 01:17:02.000000000,0 days 00:38:14.000000000
162,163,BERNE FRANCK,MACH 3 TRI,V2 16,M,0 days 02:25:20.000000000,0 days 00:24:11.000000000,0 days 01:17:09.000000000,0 days 00:44:01.000000000
163,164,PASQUINI LUDOVIC,FREE IRON TEAM,S4 31,M,0 days 02:25:25.000000000,0 days 00:27:30.000000000,0 days 01:18:04.000000000,0 days 00:39:52.000000000
164,165,MARTINEZ ANTONIO,GUC TRI,V2 17,M,0 days 02:25:26.000000000,0 days 00:23:37.000000000,0 days 01:17:23.000000000,0 days 00:44:28.000000000
165,166,LAPERGUE THIERRY,GUC TRI,V1 42,M,0 days 02:25:26.000000000,0 days 00:24:52.000000000,0 days 01:17:54.000000000,0 days 00:42:42.000000000
166,167,RODENBURG LIONEL,ALBERTVILLE TARENTAISE TRI,S3 27,M,0 days 02:25:27.000000000,0 days 00:25:09.000000000,0 days 01:17:31.000000000,0 days 00:42:48.000000000
167,168,CHARLES CHARLY,MONTBRISON TRI,V1 43,M,0 days 02:25:28.000000000,0 days 00:25:41.000000000,0 days 01:20:34.000000000,0 days 00:39:13.000000000
168,169,BROUSTE-VINCENT FABIEN,TRISALÈVE ANNEMASSE,S3 28,M,0 days 02:25:37.000000000,0 days 00:26:17.000000000,0 days 01:17:05.000000000,0 days 00:42:16.000000000
169,170,BIDOLI RÉMI,GRÉSIVAUDAN TRI,S2 25,M,0 days 02:25:42.000000000,0 days 00:23:47.000000000,0 days 01:21:36.000000000,0 days 00:40:20.000000000
170,171,FAYE THIERRY,TEAM MERMILLOD TRI,V1 44,M,0 days 02:25:46.000000000,0 days 00:27:23.000000000,0 days 01:18:28.000000000,0 days 00:39:57.000000000
171,172,MORIN PAUL EDOUARD,ASVEL TRI,V2 18,M,0 days 02:25:49.000000000,0 days 00:25:13.000000000,0 days 01:18:09.000000000,0 days 00:42:27.000000000
172,173,HAFKAMP ERIC,NON LICENCIE,V2 19,M,0 days 02:25:50.000000000,0 days 00:24:44.000000000,0 days 01:15:11.000000000,0 days 00:45:56.000000000
173,174,CAZAUX CHRISTIAN,LES MILLE PATTES TRI,V1 45,M,0 days 02:25:51.000000000,0 days 00:26:18.000000000,0 days 01:17:04.000000000,0 days 00:42:30.000000000
174,175,BIANCHIN STÉPHANE,TRI CLUB DES 2 RIVES,S4 32,M,0 days 02:25:59.000000000,0 days 00:26:23.000000000,0 days 01:15:35.000000000,0 days 00:44:02.000000000
175,176,ALONSO DAVID,ST PRIEST TRI,S4 33,M,0 days 02:26:02.000000000,0 days 00:28:05.000000000,0 days 01:17:39.000000000,0 days 00:40:20.000000000
176,177,VERNAY VINCENT,ST PRIEST TRI,S3 29,M,0 days 02:26:04.000000000,0 days 00:27:24.000000000,0 days 01:18:43.000000000,0 days 00:39:58.000000000
177,178,PIVOT SYLVAIN,TRIALP MOIRANS,V1 46,M,0 days 02:26:20.000000000,0 days 00:25:07.000000000,0 days 01:19:25.000000000,0 days 00:41:49.000000000
178,179,HOCQUAUX CÉCILE,TRISALÈVE ANNEMASSE,S3 3,F,0 days 02:26:27.000000000,0 days 00:20:37.000000000,0 days 01:22:24.000000000,0 days 00:43:28.000000000
179,180,LEROUX J MICHEL,TRISALÈVE ANNEMASSE,S3 30,M,0 days 02:26:28.000000000,0 days 00:25:43.000000000,0 days 01:19:37.000000000,0 days 00:41:08.000000000
180,181,ROSSI DAVID,NON LICENCIE,V2 20,M,0 days 02:26:37.000000000,0 days 00:28:54.000000000,0 days 01:15:41.000000000,0 days 00:42:04.000000000
181,182,EYRIGNOUX DAVID,ASMSE TRI 42,V1 47,M,0 days 02:26:41.000000000,0 days 00:26:05.000000000,0 days 01:21:51.000000000,0 days 00:38:46.000000000
182,183,PIGNOL CHRISTOPHE,MONTBRISON TRI,V1 48,M,0 days 02:26:45.000000000,0 days 00:26:32.000000000,0 days 01:16:46.000000000,0 days 00:43:28.000000000
183,184,BASTIN ALEXANDRE,ASVEL TRI,S4 34,M,0 days 02:26:55.000000000,0 days 00:26:25.000000000,0 days 01:19:47.000000000,0 days 00:40:45.000000000
184,185,DELBOS GILLES,NON LICENCIE,S3 31,M,0 days 02:26:57.000000000,0 days 00:28:17.000000000,0 days 01:20:17.000000000,0 days 00:38:24.000000000
185,186,PICHON JEAN MARC,NON LICENCIE,V2 21,M,0 days 02:26:57.000000000,0 days 00:24:54.000000000,0 days 01:17:21.000000000,0 days 00:44:42.000000000
186,187,COLIN RÉGIS,PASSY MONT BLANC TRI,V2 22,M,0 days 02:27:07.000000000,0 days 00:28:46.000000000,0 days 01:17:19.000000000,0 days 00:41:03.000000000
187,188,BRUNON YVES ROBERT,ASVEL TRI,V4 1,M,0 days 02:27:11.000000000,0 days 00:36:00.000000000,0 days 01:01:49.000000000,0 days 00:49:23.000000000
188,189,CODDET CLYDE,NON LICENCIE,JU 5,M,0 days 02:27:14.000000000,0 days 00:26:45.000000000,0 days 01:20:46.000000000,0 days 00:39:44.000000000
189,190,MACE FRÉDÉRICK,BOURG EN BRESSE TRI,V1 49,M,0 days 02:27:18.000000000,0 days 00:28:55.000000000,0 days 01:18:46.000000000,0 days 00:39:38.000000000
190,191,ANTOINAT DAVID,RILLIEUX TRI,S2 26,M,0 days 02:27:38.000000000,0 days 00:27:54.000000000,0 days 01:17:32.000000000,0 days 00:42:12.000000000
191,192,SAILLARD STÉPHANE,CLUB NAUTIQUE PONTARLIER,V1 50,M,0 days 02:27:39.000000000,0 days 00:26:38.000000000,0 days 01:19:09.000000000,0 days 00:41:53.000000000
192,193,JAUDOUIN NICOLAS,LES VALLONS DE LA TOUR TRI,S3 32,M,0 days 02:27:42.000000000,0 days 00:23:52.000000000,0 days 01:19:44.000000000,0 days 00:44:07.000000000
193,194,TURI EDDI,AIX SAVOIE TRI,V2 23,M,0 days 02:27:47.000000000,0 days 00:26:53.000000000,0 days 01:16:12.000000000,0 days 00:44:43.000000000
194,195,ZOFFOLI JEAN BAPTISTE,NON LICENCIE,S2 27,M,0 days 02:27:53.000000000,0 days 00:26:02.000000000,0 days 01:18:38.000000000,0 days 00:43:14.000000000
195,196,FAYN OLIVIER,CHAMBÉRY TRIATHLON,V2 24,M,0 days 02:28:04.000000000,0 days 00:26:18.000000000,0 days 01:20:01.000000000,0 days 00:41:45.000000000
196,197,GOUVIAUX DOMINIQUE,CHAMBÉRY TRIATHLON,V1 51,M,0 days 02:28:14.000000000,0 days 00:21:44.000000000,0 days 01:18:56.000000000,0 days 00:47:35.000000000
197,198,BEAUCHEF LAURENT,ALBERTVILLE TARENTAISE TRI,V1 52,M,0 days 02:28:17.000000000,0 days 00:25:23.000000000,0 days 01:17:15.000000000,0 days 00:45:41.000000000
198,199,HALL JEAN LUC,LES HYDROCYCLOPEDS,V2 25,M,0 days 02:28:19.000000000,0 days 00:25:06.000000000,0 days 01:20:51.000000000,0 days 00:42:23.000000000
199,200,PIAT JÉRÉMIE,PUBLIER TRI,S2 28,M,0 days 02:28:32.000000000,0 days 00:29:50.000000000,0 days 01:18:22.000000000,0 days 00:40:21.000000000
200,201,LIGTHART HANS-PETER,DOLFIJN,V2 26,M,0 days 02:28:34.000000000,0 days 00:23:24.000000000,0 days 01:22:26.000000000,0 days 00:42:45.000000000
201,202,VISENTIN STÉPHANE,ANNONAY TRI,V1 53,M,0 days 02:28:34.000000000,0 days 00:27:24.000000000,0 days 01:19:40.000000000,0 days 00:41:31.000000000
202,203,CHOVIN RAPHAEL,ALBERTVILLE TARENTAISE TRI,V1 54,M,0 days 02:28:39.000000000,0 days 00:25:37.000000000,0 days 01:18:19.000000000,0 days 00:44:45.000000000
203,204,ALLEMAND JULIEN,CRV LYON TRI,S3 33,M,0 days 02:28:51.000000000,0 days 00:27:10.000000000,0 days 01:19:52.000000000,0 days 00:41:50.000000000
204,205,FRACES PHILIPPE,TEAM MERMILLOD TRI,V3 7,M,0 days 02:28:55.000000000,0 days 00:24:09.000000000,0 days 01:21:25.000000000,0 days 00:43:22.000000000
205,206,CLEARC H NICOLAS,TRI CLUB VAL DE DRÔME,S4 35,M,0 days 02:28:57.000000000,0 days 00:30:02.000000000,0 days 01:17:04.000000000,0 days 00:41:52.000000000
206,207,LAFAY FLAVIAN,TRISALÈVE ANNEMASSE,JU 6,M,0 days 02:29:02.000000000,0 days 00:28:11.000000000,0 days 01:16:27.000000000,0 days 00:44:25.000000000
207,208,PEILLEY FLORENT,MACH 3 TRI,S1 12,M,0 days 02:29:03.000000000,0 days 00:26:23.000000000,0 days 01:19:19.000000000,0 days 00:43:21.000000000
208,209,FOURNIER ANTHONY,TOBESPORT,V1 55,M,0 days 02:29:03.000000000,0 days 00:27:25.000000000,0 days 01:15:51.000000000,0 days 00:45:48.000000000
209,210,TISSOT FRÉDÉRIC,ASVEL TRI,V2 27,M,0 days 02:29:09.000000000,0 days 00:31:10.000000000,0 days 01:19:24.000000000,0 days 00:38:36.000000000
210,211,POMMIES STÉPHANE,OULLINS TRI,S4 36,M,0 days 02:29:09.000000000,0 days 00:23:40.000000000,0 days 01:23:12.000000000,0 days 00:42:19.000000000
211,212,LOUIS DAVID,TRISPIRIDON OYONNAX,S1 13,M,0 days 02:29:12.000000000,0 days 00:27:08.000000000,0 days 01:20:36.000000000,0 days 00:41:29.000000000
212,213,BELAID BRUNO,LES VALLONS DE LA TOUR TRI,S4 37,M,0 days 02:29:14.000000000,0 days 00:26:55.000000000,0 days 01:20:23.000000000,0 days 00:41:57.000000000
213,214,KERDO JOSEPH,VALENCE TRI,V2 28,M,0 days 02:29:14.000000000,0 days 00:30:11.000000000,0 days 01:18:32.000000000,0 days 00:40:32.000000000
214,215,ZAMBON THIERRY,TEAM MERMILLOD TRI,V3 8,M,0 days 02:29:24.000000000,0 days 00:25:25.000000000,0 days 01:17:55.000000000,0 days 00:46:05.000000000
215,216,BOKASSA ROMUALD,VERSAILLES TRI,S4 38,M,0 days 02:29:27.000000000,0 days 00:26:11.000000000,0 days 01:17:51.000000000,0 days 00:45:26.000000000
