,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
24,25,SZYMEZAK PIERRE,ANNONAY TRIATHLON,S3,M,0 days 01:17:01.000000000,,,
25,26,ROUX RÉMI,ASMSE TRI 42,JU,M,0 days 01:17:10.000000000,,,
26,27,ROYI ZUARETZ,NON LICENCIE,CA,M,0 days 01:17:44.000000000,,,
27,28,DOLEV BAR,NON LICENCIE,CA,M,0 days 01:17:50.000000000,,,
28,29,DECAS DAMIEN,VALENCE TRIATHLON,S1,M,0 days 01:18:13.000000000,,,
29,30,VUYLSTEKE MAXIMILIEN,TC2R,S2,M,0 days 01:18:18.000000000,,,
30,31,VERMEILLET ETIENNE,ST PAUL 3 CHATEAUX,JU,M,0 days 01:18:23.000000000,,,
31,32,PLANEL GREGOIRE,TRI 07 PRIVAS TRIATHLON,CA,M,0 days 01:18:31.000000000,,,
32,33,RABASTE GUILLAUME,AIX SAVOIE TRIATHLON,S1,M,0 days 01:18:33.000000000,,,
33,34,SEGAL YONATAN,NON LICENCIE,CA,M,0 days 01:19:11.000000000,,,
34,35,VIAL JÉRÔME,BOURG EN BRESSE TRIATHLON,V1,M,0 days 01:19:23.000000000,,,
35,36,BOISSONNIER EMMANUEL,GRENOBLE,S2,M,0 days 01:19:35.000000000,,,
36,37,HAZOOT YARDEN,COMITE SPORTIF LAC DES SAPINS,JU,M,0 days 01:19:56.000000000,,,
37,38,FALCONNIER MICHEL,TRYSSINGEAUX,V2,M,0 days 01:20:08.000000000,,,
38,39,BERTRAND NICOLAS,CHAMBERY TRIATHLON,JU,M,0 days 01:20:30.000000000,,,
39,40,VERNET SEBASTIEN,TRI FINISH MUNSTER,S3,M,0 days 01:20:46.000000000,,,
40,41,MÜLLER GEROLD,AL ECHIROLLES TRI,V3,M,0 days 01:20:53.000000000,,,
41,42,DI MARIA JEAN LUC,VERSAILLES TRIATHLON,V3,M,0 days 01:21:03.000000000,,,
42,43,GUYONNE VINCENT,VALENCE TRIATHLON,S3,M,0 days 01:21:09.000000000,,,
43,44,FULCHIRON TRISTAN,TRIATHLON CLUB DE NEVERS,CA,M,0 days 01:21:13.000000000,,,
44,45,LAQUET MORGAN,POISSY TRIATHLON,S4,M,0 days 01:21:16.000000000,,,
45,46,ABRAHAM BÉRENGÈRE,AL ECHIROLLES TRI,S2,F,0 days 01:21:23.000000000,,,
46,47,PHILIPPE XAVIER,1000 PATTES TRIATHLON,S3,M,0 days 01:21:54.000000000,,,
47,48,PRIEUR-DREVON LOÏC,SAINT MARTIN D HERES,JU,M,0 days 01:22:14.000000000,,,
48,49,SOSHAM PELEG,NON LICENCIE,CA,M,0 days 01:23:00.000000000,,,
49,50,LAURENT FREDERIC,VALENCE TRIATHLON,V1,M,0 days 01:23:04.000000000,,,
50,51,PLISSON GILDAS,AL ECHIROLLES TRI,S3,M,0 days 01:23:11.000000000,,,
51,52,BLADINIERE JEAN CHRISTOPHE,TRICASTIN TRIATHLON CLUB,V2,M,0 days 01:23:22.000000000,,,
52,53,FALCONNIER PIERRE,COMITE SPORTIF LAC DES SAPINS,S1,M,0 days 01:23:57.000000000,,,
53,54,ROUVIER JEAN BAPTISTE,VALENCE TRIATHLON,S2,M,0 days 01:24:29.000000000,,,
54,55,VALGALIER STEPHANE,COUX,S4,M,0 days 01:24:42.000000000,,,
55,56,CHALEAT ETIENNE,SAINT DESIRAT,S1,M,0 days 01:24:48.000000000,,,
56,57,DELAGARDE MARILYNE,METZ TRIATHLON,S4,F,0 days 01:25:05.000000000,,,
57,58,BERNARD CLAUDE,MAUVES,V3,M,0 days 01:25:14.000000000,,,
58,59,MANOR NIV,NON LICENCIE,CA,M,0 days 01:25:34.000000000,,,
59,60,HUMBERT FANNY,VITROLLES TRIATHLON,S3,F,0 days 01:25:53.000000000,,,
60,61,GOUNON LAURENT,TRI 07 PRIVAS TRIATHLON,V1,M,0 days 01:25:54.000000000,,,
61,62,FELIX ALEXANDRE,LAMASTRE,S4,M,0 days 01:26:08.000000000,,,
